especie,año,toneladas
ABADEJO,2010,10804.6
ABADEJO,2011,9228.7
ABADEJO,2012,6591.8
ABADEJO,2013,5681.5
ABADEJO,2014,4835.7
ABADEJO,2015,4372.4
ABADEJO,2016,2688.2
ABADEJO,2017,2458.3
ABADEJO,2018,3090
ABADEJO,2019,1730.3
Abadejo,2020,2539.61
Abadejo,2021,2425.95
Abadejo,2022,1361.78
Abadejo,2023,1412.76
Abadejo,2024,1593.98
Anchoa de banco,2020,genera un error
Anchoa de banco,2021,195.10
Anchoa de banco,2022,152.56
Anchoa de banco,2023,501.14
Anchoa de banco,2024,453.51
ANCHOITA,2010,26301.6
ANCHOITA,2011,21083.6
ANCHOITA,2012,15424.1
ANCHOITA,2013,18063.3
ANCHOITA,2014,13808.7
ANCHOITA,2015,13858
ANCHOITA,2016,8477.7
ANCHOITA,2017,10046.8
ANCHOITA,2018,8593
ANCHOITA,2019,6228.7
Anchoíta,2020,4127.54
Anchoíta,2021,5942.78
Anchoíta,2022,8009.53
Anchoíta,2023,5540.36
Anchoíta,2024,3548.13
Bacalao austral,2020,103.99
Bacalao austral,2021,136.85
Bacalao austral,2022,98.53
Bacalao austral,2023,59.55
Bacalao austral,2024,52.69
Bagre,2020,77.51
Bagre,2021,105.21
Bagre,2022,401.02
Bagre,2023,224.29
Bagre,2024,768.67
Besugo,2020,5847.04
Besugo,2021,6402.72
Besugo,2022,5891.36
Besugo,2023,5010.09
Besugo,2024,4784.56
Bonito,2020,6.76
Bonito,2021,15.11
Bonito,2022,0.00
Bonito,2023,3.17
Bonito,2024,0.20
Brótola,2020,15.04
Brótola,2021,30.54
Brótola,2022,20.42
Brótola,2023,14.19
Brótola,2024,6.00
Burriqueta,2020,0.91
Burriqueta,2021,0.09
Burriqueta,2022,0.34
Burriqueta,2023,1.61
Burriqueta,2024,2.54
CABALLA,2010,26662.2
CABALLA,2011,27725
CABALLA,2012,20345.4
CABALLA,2013,18115.7
CABALLA,2014,6800.8
CABALLA,2015,18051
CABALLA,2016,11504
CABALLA,2017,8625.1
CABALLA,2018,5377
CABALLA,2019,8113.7
Caballa,2020,13532.14
Caballa,2021,5323.41
Caballa,2022,14277.73
Caballa,2023,13153.76
Caballa,2024,5235.24
Calamar de Sao Paulo,2020,0.00
Calamar de Sao Paulo,2021,0.00
Calamar de Sao Paulo,2022,0.04
Calamar de Sao Paulo,2023,0.00
Calamar de Sao Paulo,2024,0.00
Calamar Illex,2020,112207.63
Calamar Illex,2021,64432.60
Calamar Illex,2022,91582.43
Calamar Illex,2023,94680.22
Calamar Illex,2024,74300.17
Calamar Loligo,2020,5.72
Calamar Loligo,2021,0.89
Calamar Loligo,2022,12.65
Calamar Loligo,2023,8.80
Calamar Loligo,2024,10.34
Calamar Martialia,2020,0.00
Calamar Martialia,2021,0.36
Calamar Martialia,2022,0.01
Calamar Martialia,2023,0.00
Calamar Martialia,2024,0.00
CALAMAR,2010,66220.2
CALAMAR,2011,44971.3
CALAMAR,2012,40180.7
CALAMAR,2013,85054.4
CALAMAR,2014,89229.8
CALAMAR,2015,88653.8
CALAMAR,2016,45848.7
CALAMAR,2017,60539.5
CALAMAR,2018,58346
CALAMAR,2019,34634.7
Camarón,2020,48.14
Camarón,2021,65.53
Camarón,2022,6.45
Camarón,2023,6.10
Camarón,2024,0.40
Cangrejo rojo,2020,0.00
Cangrejo rojo,2021,0.00
Cangrejo rojo,2022,0.00
Cangrejo rojo,2023,0.00
Cangrejo rojo,2024,0.10
Cangrejo,2020,17.50
Cangrejo,2021,18.31
Cangrejo,2022,23.98
Cangrejo,2023,10.81
Cangrejo,2024,7.78
Caracol negro,2020,0.00
Caracol negro,2021,0.00
Caracol negro,2022,0.00
Caracol negro,2023,0.19
Caracol negro,2024,0.39
Caracol,2020,9.96
Caracol,2021,2.14
Caracol,2022,3.62
Caracol,2023,0.98
Caracol,2024,0.98
Castañeta,2020,21.97
Castañeta,2021,1.10
Castañeta,2022,20.65
Castañeta,2023,1.52
Castañeta,2024,3.28
Cazón,2020,0.53
Cazón,2021,1.64
Cazón,2022,23.12
Cazón,2023,0.73
Cazón,2024,56.65
Centolla,2020,113.47
Centolla,2021,24.65
Centolla,2022,48.63
Centolla,2023,51.52
Centolla,2024,103.69
Chanchito,2020,0.00
Chanchito,2021,0.00
Chanchito,2022,0.00
Chanchito,2023,0.59
Chanchito,2024,1.03
Chernia,2020,28.10
Chernia,2021,78.33
Chernia,2022,64.15
Chernia,2023,49.85
Chernia,2024,96.59
Chucho Dasyatis,2020,0.02
Chucho Dasyatis,2021,0.00
Chucho Dasyatis,2022,0.00
Chucho Dasyatis,2023,0.00
Chucho Dasyatis,2024,0.00
Chucho Myliobatis,2020,0.00
Chucho Myliobatis,2021,0.03
Chucho Myliobatis,2022,0.00
Chucho Myliobatis,2023,0.00
Chucho Myliobatis,2024,0.00
Chucho,2020,0.28
Chucho,2021,7.11
Chucho,2022,0.15
Chucho,2023,2.34
Chucho,2024,1.25
Congrio de profundidad,2020,1.40
Congrio de profundidad,2021,0.00
Congrio de profundidad,2022,0.18
Congrio de profundidad,2023,0.97
Congrio de profundidad,2024,0.32
Congrio,2020,12.31
Congrio,2021,3.48
Congrio,2022,3.52
Congrio,2023,1.25
Congrio,2024,3.69
Cornalito,2020,72.51
Cornalito,2021,160.53
Cornalito,2022,66.03
Cornalito,2023,224.57
Cornalito,2024,67.04
Corvina blanca,2020,31219.43
Corvina blanca,2021,29930.06
Corvina blanca,2022,22651.13
Corvina blanca,2023,27866.20
Corvina blanca,2024,36625.54
Corvina negra,2020,674.29
Corvina negra,2021,294.72
Corvina negra,2022,249.00
Corvina negra,2023,848.88
Corvina negra,2024,1164.55
CRUSTÁCEOS,2010,734.9
CRUSTÁCEOS,2011,1552.2
CRUSTÁCEOS,2012,4760.4
